"AVGMZ","MINMZ","MAXMZ","RT","MINRT","MAXRT","SUMINTENSITY","MAXINTENSITY","MEASUREMENTID","GROUPID","GROUPSETSINDEX"
247.166722710413,247.166412353516,247.167007446289,698.310485839844,688.269592285156,711.535766601562,1739276687.53906,507320128,1,1,1
124.087245367406,124.087066650391,124.08740234375,698.310485839844,683.967346191406,716.69873046875,1298505013.25,328010304,1,2,1
230.140223068131,230.139984130859,230.140396118164,698.310485839844,690.501953125,708.916625976562,841471649.84375,168406912,1,3,1
248.170609953084,248.169448852539,248.171249389648,698.310485839844,691.452941894531,708.916625976562,195568010.90625,62126772,1,4,1
165.113675810168,165.113479614258,165.113845825195,698.310485839844,688.269592285156,711.535766601562,231480804.796875,53621868,1,5,1
118.12301267934,118.122848510742,118.123161315918,698.310485839844,688.269592285156,711.535766601562,117602567.476562,30830348,1,6,1
101.07150463251,101.071350097656,101.071578979492,698.310485839844,692.081970214844,705.570739746094,197822762.9375,30800796,1,7,1
102.128244396136,102.128082275391,102.128372192383,698.310485839844,683.65234375,716.69873046875,85515644.1171875,23914124,1,8,1
125.090454968677,125.089996337891,125.090950012207,698.310485839844,683.967346191406,716.69873046875,84161116.7304688,22129482,1,9,1
231.144034213166,231.143539428711,231.144882202148,698.310485839844,690.501953125,708.916625976562,101833761.542969,20914290,1,10,1
226.951649338771,226.951522827148,226.952392578125,698.310485839844,694.350341796875,702.670288085938,34746467.4238281,18159000,1,11,1
110.07171263698,110.07154083252,110.071807861328,698.310485839844,690.501953125,709.276733398438,50295261.3242188,11350533,1,12,1
206.140160246821,206.139434814453,206.140579223633,698.310485839844,693.789123535156,704.84619140625,24645630.3618164,7505783.5,1,13,1
130.159231823014,130.159057617188,130.15934753418,698.310485839844,694.350341796875,703.394775390625,29509426.546875,6064445,1,14,1
164.128320661498,164.128128051758,164.128646850586,698.310485839844,693.02783203125,706.742004394531,25372652.2736816,5688197.5,1,15,1
158.964188643362,158.963562011719,158.964508056641,698.310485839844,694.350341796875,702.670288085938,9994871.35253906,4809155,1,16,1
166.11696440057,166.116256713867,166.117141723633,698.310485839844,688.269592285156,711.535766601562,19174579.8203125,4629591,1,17,1
249.174438580976,249.172241210938,249.17497253418,698.310485839844,697.590698242188,705.570739746094,11127302.5507812,3681844.5,1,18,1
148.086942063208,148.086441040039,148.087432861328,698.310485839844,688.269592285156,711.535766601562,13374901.9814453,3450348.25,1,19,1
104.107511639925,104.107345581055,104.107696533203,698.310485839844,689.502746582031,710.366333007812,12561586.6894531,3355417,1,20,1
242.925612341575,242.925399780273,242.925689697266,698.310485839844,697.963623046875,699.351257324219,6702832.25,3281273.75,1,21,1
140.068277117258,140.068023681641,140.068557739258,698.310485839844,690.501953125,708.916625976562,11117057.6323242,3198786.75,1,22,1
265.177392985502,265.176940917969,265.178131103516,698.310485839844,697.590698242188,709.639526367188,11416039.9755859,3182965.5,1,23,1
271.166788127356,271.166320800781,271.167205810547,698.310485839844,694.724243164062,703.757446289062,14107736.9296875,3115807.25,1,24,1
189.113707762453,189.113357543945,189.113998413086,698.310485839844,692.71875,706.742004394531,15947605.2714844,3101592.5,1,25,1
272.150620307076,272.149963378906,272.150909423828,698.310485839844,694.724243164062,703.757446289062,13682939.9453125,2748429.25,1,26,1
213.113588739312,213.11262512207,213.113876342773,698.310485839844,688.269592285156,709.276733398438,13207308.7363281,2542664.75,1,27,1
207.124233825524,207.123962402344,207.124404907227,698.310485839844,694.724243164062,703.394775390625,15145296.234375,2435363,1,28,1
178.122812427603,178.122497558594,178.123229980469,698.310485839844,690.501953125,709.639526367188,11557204.2890625,2389990.5,1,29,1
