id,spectrum,eV
24,66.6234:2163.0254 124.0781:3949.992 124.0873:138502.56 124.0943:2012.8813 124.0968:3297.289 148.0869:4660.8257 162.4096:2759.8533 165.1131:3487.5752,30
24,51.5403:2037.7412 53.0981:2302.588 53.3872:2344.9973 57.8605:2277.2563 61.1538:2471.132 89.1754:2259.0625 94.2019:2358.0315 95.586:2281.4614 124.0872:501567.66 133.2253:2799.2285 148.0868:14770.476 165.1137:15538.52 189.1139:9449.415 206.1404:8304.71 207.3773:2749.1968 208.8831:19304.447 224.9276:10552.334 226.8939:49007.617 227.8948:2326.111 234.3626:2419.5547 236.8761:2131.0613 247.1666:3529.1929 254.8894:5287.697,30
24,59.0614:3261.847 60.9027:3226.7112 62.7664:2249.3264 69.063:2436.3044 75.0164:2403.129 83.0611:8493.657 90.1619:2800.1936 107.0609:4449.6177 109.0631:2683.535 124.0873:1184249.2 124.1026:4729.1655 124.1061:9619.099 125.3831:2767.3086 138.6972:2577.5454 148.0869:38592.273 154.7572:2972.5903 165.1137:34699.86 189.1134:19874.328 206.1402:20655.557 208.8834:12556.007 224.9282:5055.5674 226.8938:43645.78 247.167:4724.27 254.8891:4268.1597,30
24,54.9663:2375.4375 60.0685:5258.67 60.0713:5782.347 68.0271:2118.6553 68.8441:2278.6372 83.0604:2781.1084 88.6766:2299.8596 91.6805:2562.5208 96.8667:4877.9663 124.0779:5049.268 124.0873:184742.3 124.0943:2565.6045 124.0968:3257.9036 148.087:5476.815 165.1139:5350.504 189.1137:3996.0776 208.8831:8530.334 210.8908:2118.2117 224.9274:5576.4624 226.8936:39105.18,30
24,52.2704:5514.8105 59.0612:13332.336 60.9054:9391.43 79.6316:5402.8457 83.0611:21224.012 107.061:13123.347 124.0685:20705.96 124.0872:2694036.5 148.0871:76024.19 150.8708:4783.3022 155.5035:4848.0435 158.299:5127.6147 165.1136:75868.52 189.1135:52078.277 206.1402:47180.156 208.8832:9481.067 226.8932:15527.852 230.1411:11954.044 243.7678:5624.2163 247.1664:18456.754 263.3101:5919.415,30
24,61.3595:20622.422 63.2988:15237.82 64.705:12354.023 65.3439:13981.972 83.0612:49870.44 103.5505:14847.84 107.0607:28115.889 124.0685:52494.438 124.0872:7563208.5 124.106:53115.996 124.7031:15430.922 129.2454:13875.303 139.6306:14777.506 148.0869:251143.14 165.1138:217283.2 189.1135:160350.48 194.4728:16676.781 206.1396:102100.08 226.3954:14664.294 230.1408:16604.617 247.1664:36954.137,30
24,58.066:13420.806 59.0613:98990.9 59.1896:3759.116 66.0348:13538.077 67.7443:4152.423 68.0345:4999.584 68.0378:13049.217 83.056:6932.012 83.061:204978.81 83.0651:4176.142 107.0609:152842.17 109.0634:13150.227 124.041:25724.84 124.0521:18309.559 124.0575:38562.156 124.0628:73391.9 124.0681:225281.17 124.0722:131688.8 124.0872:32674828.0 124.1022:250081.77 124.1058:227378.2 124.1115:80979.875 124.117:36499.773 124.122:25224.256 124.128:34306.17 148.087:1086525.5 149.0817:7202.862 165.1136:1003109.9 189.1136:686840.56 206.1402:584007.9 230.1404:112155.19 247.1668:169120.84,30
24,52.7624:2383.912 52.817:2191.9314 53.279:2328.5247 53.7816:2362.1116 55.7781:2597.0674 57.9423:2412.0474 61.1269:3157.7249 61.1296:3373.7493 65.4401:2311.1602 80.6258:2452.705 96.8668:4356.934 104.8404:2213.0015 124.0873:292010.0 125.203:2432.2083 148.087:8870.898 165.1143:6453.2773 177.0219:2118.9458 189.114:7953.05 206.1395:4162.582 206.7899:2293.5515 208.5586:2950.2756 208.8829:14577.304 215.9012:2789.167 223.9208:2468.8123 224.9273:9244.698 226.8939:46434.887 237.1218:2299.7798 254.8903:5784.3022 264.293:2168.3713,30
24,59.9355:2342.988 59.9388:2823.1611 61.5858:3172.7937 61.5887:2739.7388 68.2848:2073.654 68.7201:2404.927 80.4512:2439.8906 89.8515:2154.4507 96.863:2126.6692 99.427:2244.8127 124.078:3500.4731 124.0873:121615.84 128.7137:2288.2922 148.0878:3261.8054 159.1829:2195.0933 165.1126:5339.1045 169.3807:2387.3237 204.3198:2472.4236,30
24,56.4172:2150.3113 60.663:2250.9382 62.9514:2230.373 71.8104:2106.737 79.4955:2377.5442 109.7117:2894.3289 124.078:3492.807 124.0873:137122.42 124.0967:2904.7952 133.6074:2802.4668 146.4904:2359.026 148.0873:2370.7302 165.1135:2603.1755 168.2385:2339.6501,30
24,50.2639:2319.1755 110.5884:2259.1812 124.0781:2568.8975 124.0873:99923.8 154.4794:2643.9062 165.1136:3947.8848 174.9992:2921.209,30
