peak,id,name,inchi,formula,adduct,m/z,rt,top2ratio
208,peak_208_msfinder_1,"4-[(1-{[carboxy(hydroxy)methyl]carbamoyl}-2-[13'-(methylamino)-27'-oxo-15'-[(pyridin-4-yl)methyl]dispiro[cyclopentane-1,18'-[26]oxapentacyclo[15.10.1.0?,??.0?,??.0??,??]octacosane-23',1''-cyclopentane]-5',7',9',14',25'(28')-pentaen-2'-yn-24'-ylsulfanyl]ethyl)carbamoyl]-2-{[(methylamino)methyl]amino}butanoic acid","InChI=1S/C54H70N6O9S/c1-55-33-58-40(49(64)65)17-18-42(61)59-41(47(62)60-48(63)50(66)67)32-70-46-45-44-38(52(21-5-6-22-52)23-7-8-24-53(46)25-9-10-26-53)31-37(30-34-19-28-57-29-20-34)43-39(56-2)16-15-36-13-4-3-12-35(36)14-11-27-54(43,44)51(68)69-45/h3-4,12-13,19-20,28-29,38-41,46,48,55-56,58,63H,5-10,14-18,21-26,30-33H2,1-2H3,(H,59,61)(H,60,62)(H,64,65)(H,66,67)",C54H71N6O9S,M+H,979.4997750332101,5.959661356608066,0.7433546433378196
211,peak_211_msfinder_1,"6-acetyl-5-hydroxy-4-[10''''-(3-hydroxypropyl)tetraspiro[tetrakis(cyclopentane)-1,1':3',1'':2'',1''':3''',4''''-[8,20,27]trioxaheptacyclo[12.11.1.1?,?.1??,??.0??,??.0??,??.0??,??]octacosane]-11'''',14''''(26'''')-diene-18'''',22'''',23''''-trioloxy]-7-methylnaphthalene-2-carboxylic acid","InChI=1S/C58H74O12/c1-31-21-33-22-34(51(65)66)23-42(44(33)47(62)43(31)32(2)60)68-52-48(63)49(64)58-26-37-38-25-54(17-19-56(29-54)14-5-13-55(56)18-16-53(28-55)11-3-4-12-53)24-35-27-67-30-57(46(35)38,15-6-20-59)39-8-7-36(45(37)39)41(70-58)10-9-40(61)50(58)69-52/h8,21-23,35,37-38,40-41,46,48-50,52,59,61-64H,3-7,9-20,24-30H2,1-2H3,(H,65,66)",C58H75O12,M+H,963.52530381986,5.959661356608066,0.917685771818673
214,peak_214_metfrag_1,"17-ethyl-12-[1-[4-[2-(4-fluoro-3,5-dimethylphenyl)-2-hydroxyethoxy]-3-methoxycyclohexyl]prop-1-en-2-yl]-1,14-dihydroxy-23,25-dimethoxy-13,19,21,27-tetramethyl-11,28-dioxa-4-azatricyclo[22.3.1.04,9]octacos-18-ene-2,3,10,16-tetrone","InChI=1S/C53H80FNO13/c1-12-37-20-29(2)19-30(3)21-45(64-10)49-46(65-11)25-34(7)53(62,68-49)50(59)51(60)55-18-14-13-15-39(55)52(61)67-48(35(8)40(56)27-41(37)57)33(6)22-36-16-17-43(44(26-36)63-9)66-28-42(58)38-23-31(4)47(54)32(5)24-38/h20,22-24,30,34-37,39-40,42-46,48-49,56,58,62H,12-19,21,25-28H2,1-11H3",C53H81FNO13,M+H,958.56864579997,5.959661356608066,0.7842293906810036
215,C08841,Withaferin A,"InChI=1S/C28H38O6/c1-14-11-21(33-25(32)17(14)13-29)15(2)18-5-6-19-16-12-24-28(34-24)23(31)8-7-22(30)27(28,4)20(16)9-10-26(18,19)3/h7-8,15-16,18-21,23-24,29,31H,5-6,9-13H2,1-4H3",C56H77O12,2M+H,941.5409538843201,5.959661356608066,0.28109854604200324
218,peak_218_metfrag_2,"1-N-[4-[(cyclohexylsulfonylamino)-ethylamino]-1-(3,5-difluorocyclohexyl)-3-hydroxybutan-2-yl]-3-N,3-N-dipropyl-5-sulfamoylcyclohexane-1,3-dicarboxamide","InChI=1S/C32H59F2N5O7S2/c1-4-12-38(13-5-2)32(42)24-17-23(18-28(19-24)47(35,43)44)31(41)36-29(16-22-14-25(33)20-26(34)15-22)30(40)21-39(6-3)37-48(45,46)27-10-8-7-9-11-27/h22-30,37,40H,4-21H2,1-3H3,(H,36,41)(H2,35,43,44)",C32H60F2N5O7S2,M+H,728.38967393497,5.959661356608066,0.01743810548977398
222,C19898,Manzamine A,"InChI=1S/C36H44N4O/c41-36-18-10-4-1-2-5-11-20-39-22-17-30(35(25-39)23-26-13-7-3-6-12-21-40(26)34(35)36)29(24-36)32-33-28(16-19-37-32)27-14-8-9-15-31(27)38-33/h1,4,7-9,13-16,19,24,26,30,34,38,41H,2-3,5-6,10-12,17-18,20-23,25H2",C36H44N4NaO,M+Na,571.3407300554101,5.959661356608066,0.9852166716822148
223,NPA000836,N-demethylstreptomycin,"InChI=1S/C20H37N7O12/c1-4-20(35,3-29)15(39-16-6(21)10(31)9(30)5(2-28)37-16)17(36-4)38-14-8(27-19(24)25)11(32)7(26-18(22)23)12(33)13(14)34/h3-17,28,30-35H,2,21H2,1H3,(H4,22,23,26)(H4,24,25,27)",C20H38N7O12,M+H,568.25729565836,5.959661356608066,0.9838375307125307
224,NPA011478,Sterhirsutin G,"InChI=1S/C31H38O8/c1-14-22(32)25(18-8-16-9-28(2,26(35)36)11-19(16)30(14,18)4)39-27(37)29(3)10-15-7-17-23(33)24(34)21(13-38-6)31(17,5)20(15)12-29/h15-17,19-20,34H,1,7-13H2,2-6H3,(H,35,36)",C31H38NaO8,M+Na,561.2458861813001,5.959661356608066,0.7214648798521257
225,peak_225_sirius_1,"2,6-dibutyl-3-propyl-5-[[4-[2-(2H-tetrazol-5-yl)phenyl]phenyl]methyl]pyrimidin-4-one","InChI=1S/C29H36N6O/c1-4-7-13-26-25(29(36)35(19-6-3)27(30-26)14-8-5-2)20-21-15-17-22(18-16-21)23-11-9-10-12-24(23)28-31-33-34-32-28/h9-12,15-18H,4-8,13-14,19-20H2,1-3H3,(H,31,32,33,34)",C30H39N6O3,M+CH2O2+H,531.30781556643,5.959661356608066,0.34499845153298236
226,NPA018249,Delaminomycin B,"InChI=1S/C30H45NO6/c1-7-23(33)18(3)10-8-9-11-22(32)16-21-13-12-20-15-17(2)14-19(4)25(20)30(21,5)27(35)24-26(34)29(37-6)31-28(24)36/h8-13,17-23,25,29,32-33,35H,7,14-16H2,1-6H3,(H,31,36)",C30H46NO6,M+H,516.3319641722001,5.959661356608066,0.5184959844244341
228,peak_228_msfinder_1,"tert-butyl N-[(2S,3R)-3-hydroxy-4-[(4-methoxyphenyl)sulfonyl-propan-2-yloxyamino]-1-phenylbutan-2-yl]carbamate","InChI=1S/C25H36N2O7S/c1-18(2)34-27(35(30,31)21-14-12-20(32-6)13-15-21)17-23(28)22(16-19-10-8-7-9-11-19)26-24(29)33-25(3,4)5/h7-15,18,22-23,28H,16-17H2,1-6H3,(H,26,29)",C25H37N2O7S,M+H,509.23159868053,5.959661356608066,0.9739182452642073
230,NPA012639,Delaminomycin A,"InChI=1S/C29H43NO6/c1-6-22(32)17(3)9-7-8-10-21(31)15-20-12-11-19-14-16(2)13-18(4)24(19)29(20,5)26(34)23-25(33)28(36)30-27(23)35/h7-12,16-22,24,28,31-32,34,36H,6,13-15H2,1-5H3,(H,30,35)",C29H44NO6,M+H,502.31631410773997,5.959661356608066,0.5117613310384395
233,peak_233_sirius_1,Withanone,"InChI=1S/C28H38O6/c1-14-13-19(33-24(30)15(14)2)16(3)27(31)12-9-17-21-18(8-11-25(17,27)4)26(5)20(29)7-6-10-28(26,32)23-22(21)34-23/h6-7,16-19,21-23,31-32H,8-13H2,1-5H3",C28H38NaO6,M+Na,493.25605694216,5.959661356608066,0.48870788596815995
236,peak_236_sirius_1,Withanone,"InChI=1S/C28H38O6/c1-14-13-19(33-24(30)15(14)2)16(3)27(31)12-9-17-21-18(8-11-25(17,27)4)26(5)20(29)7-6-10-28(26,32)23-22(21)34-23/h6-7,16-19,21-23,31-32H,8-13H2,1-5H3",C28H42NO6,M+NH4,488.30066194216,5.959661356608066,0.27207162397413576
