id,spectrum,eV
2,54.5707:18552.623 55.029:58888.3281 65.0134:23838.6797 67.029:245546.2656 67.2159:18193.834 82.0398:73816.9141 91.0541:23355.2383 92.0241:446121.5 93.0274:24732.7988 93.653:23256.2949 94.0398:700777.4375 101.6999:19938.0898 109.0506:295531.8125 112.0505:104352.6172 119.0351:3544111.75 120.0385:162144.2656 121.0895:24186.1953 136.0617:4690260.5 137.0457:2588423.5 137.0649:211146.0625 138.0488:122632.4844 157.9323:20410.3359,40
2,55.029:10693.2988 65.0134:4835.4058 65.0387:5608.2598 67.0289:38079.7188 75.0384:4550.8662 82.0398:14185.5146 88.0757:8368.293 91.0541:21486.998 92.0187:5008.7876 92.0241:71753.4844 93.1292:3986.48 94.0398:102633.8438 95.0603:9079.7666 105.8148:3610.4102 109.0438:4046.3115 109.0506:44703.8047 112.0502:24441.7051 119.035:531039.5 120.0384:24381.7832 121.0878:5814.645 134.8211:3948.9514 136.0616:727607.25 136.1124:8184.0034 137.0456:401643.2812 137.0649:40034.7734 138.0488:24835.709 141.0416:4219.0288 191.9649:3709.5105,40
2,55.0292:173734.9844 61.7634:64062.7539 63.4741:71205.7422 67.029:847849.25 80.7649:60872.6875 82.0399:306973.7188 92.0187:102394.1328 92.0242:1534460.25 94.0399:2198922.0 95.0432:70982.6641 109.0508:1093943.375 110.0543:108537.3359 112.0504:520312.625 119.0352:10863111.0 120.0385:501253.5625 136.0618:15343868.0 137.0458:9486204.0 137.065:810776.0 138.0488:462164.375 160.0613:209280.2656 173.4552:99669.9141,40
2,53.9248:137954.3125 55.0291:379046.2812 63.4254:111720.4531 67.029:1390935.25 82.0399:420583.0938 86.0419:125374.1484 92.0242:2459347.0 93.0267:120622.9141 94.0399:3318896.5 109.0508:1660841.25 112.0505:689023.25 119.0353:17194764.0 120.0303:136967.875 120.0387:643562.0 132.9762:140661.0625 134.3976:121752.5781 136.0619:23517858.0 137.0459:15696491.0 137.0652:1263635.75 138.0491:845691.3125 158.5859:113953.625 160.0618:455428.125 164.0994:126842.0,40
2,55.0289:395222.4062 56.4303:129576.6016 57.5831:137282.2656 67.0288:1378430.75 80.0979:112839.125 82.0398:472742.9688 92.0185:168706.3125 92.0241:2535495.75 94.0397:3218299.5 97.4629:153913.1562 109.0506:1429035.5 112.0502:742352.375 119.035:17423010.0 120.0386:733273.375 120.505:161602.5938 136.0616:24191244.0 137.0455:15435593.0 137.0574:242054.6719 137.065:1216178.625 138.0489:732690.125 160.0618:514100.6562 165.442:141199.4688 177.6092:155088.6406,40
2,55.0291:139425.3594 60.7166:75827.2422 63.2358:68388.0156 67.0289:744609.9375 70.7331:72658.4609 80.6312:67918.9453 82.0397:267468.875 86.5142:66965.4609 92.0241:1421446.875 94.0398:1601409.75 94.9561:69161.75 95.0433:76812.7734 95.0794:67115.2969 109.0435:84618.3594 109.0507:741952.25 111.3857:74058.0625 112.0505:374824.7188 112.3822:61166.3789 119.0351:9276312.0 120.0384:403423.8438 136.0616:12334630.0 137.0456:8119793.5 137.0575:141572.5625 137.065:559641.9375 138.0487:257914.3594 160.0615:185074.5625 200.1043:75874.5469,40
2,55.0179:51256.6172 55.0292:46977.0898 60.4296:20187.8691 67.0291:244284.3594 68.5638:23128.8262 82.0401:110399.9062 92.0243:415322.5 94.04:683096.6875 95.0435:25729.1016 109.0508:247273.2188 112.0504:145253.7969 119.0353:2959125.25 120.0387:105886.7734 136.0619:4226326.0 137.0459:2685386.75 137.0573:36154.6133 137.0654:262197.875 138.0491:127005.7422 140.1387:22190.9297 160.0623:56898.1562 190.2302:27217.4902,40
2,65.0386:7225.5605 67.0291:4386.0522 67.0542:5272.7358 75.095:3765.2427 75.1647:3609.6738 79.2869:3818.3635 82.3752:4019.8628 88.076:5905.6108 91.0541:35177.1641 92.0243:10553.5332 94.0399:15287.8125 95.0604:7125.3315 109.0507:5369.7891 119.0269:5767.9121 119.0353:72776.0625 119.0467:4353.4819 119.0488:3573.7612 121.089:8684.3945 136.0617:105984.3828 136.1121:11383.4092 137.0457:59241.082,40
2,55.0179:57991.3516 55.0292:21702.7227 67.0261:10911.8916 67.0291:107202.9609 73.0284:18263.1992 82.04:27023.1992 91.0546:22043.1816 92.0187:11135.3584 92.0243:157346.5938 92.2348:8983.5176 94.04:244324.1719 109.0508:100308.6953 112.0506:42836.8203 119.0354:1105865.25 120.0387:52707.75 136.0619:1635788.0 137.046:998467.125 137.0652:87910.125 138.0493:48884.0703 138.06:8572.4727 155.8731:10238.8477 160.0623:22077.9785 173.4576:21341.0664 202.8359:9682.7705,40
2,55.0178:28212.543 55.0292:10384.1572 65.0055:8091.4814 67.029:39066.9297 73.0282:12417.6885 76.1275:4378.418 82.0399:8626.0439 88.0756:7342.8193 91.0542:32662.1445 92.0242:69442.1328 94.0336:7246.0132 94.0399:113534.8672 95.0432:4667.4849 104.0749:4466.4956 109.0507:42354.0586 112.0504:24757.4453 112.0582:4482.2227 119.0352:541332.75 120.0386:22647.1309 120.0636:4089.3025 136.0618:772485.125 137.0458:488494.0625 137.0651:35864.8828 138.0491:20199.3164 146.9869:4497.9536 160.062:10413.6416 193.36:4645.2744,40
